data,tokens
comment : god bless dr ogie youtube healing gave daughter suffering breast cancer,"['comment', 'god', 'bless', 'dr', 'ogie', 'youtube', 'heal', 'give', 'daughter', 'suffer', 'breast', 'cancer']"
comment : god bless dr ogie youtube healing gave daughter suffering breast cancer,"['comment', 'god', 'bless', 'dr', 'ogie', 'youtube', 'heal', 'give', 'daughter', 'suffer', 'breast', 'cancer']"
comment : giving thanks dr dagba youtube something always take personal brought back full health permanently cured breast cancer thank doc drdagba,"['comment', 'give', 'thank', 'dr', 'dagba', 'youtube', 'something', 'always', 'take', 'personal', 'bring', 'back', 'full', 'health', 'permanently', 'cure', 'breast', 'cancer', 'thank', 'doc', 'drdagba']"
comment : fighting multiple cancer cancer survivor story years old httpsyoutubefkfdjwxk,"['comment', 'fight', 'multiple', 'cancer', 'cancer', 'survivor', 'story', 'years', 'old', 'httpsyoutubefkfdjwxk']"
comment : shot answer cancer isnt disease cause bacteria virus group mutated cells hurting body happen literally anytime certain things increase chances thank dr itoya advice prevent cancer importantly herbal medications send put stop one already thank great doctor time reach youtube channel,"['comment', 'shoot', 'answer', 'cancer', 'isnt', 'disease', 'cause', 'bacteria', 'virus', 'group', 'mutate', 'cells', 'hurt', 'body', 'happen', 'literally', 'anytime', 'certain', 'things', 'increase', 'chance', 'thank', 'dr', 'itoya', 'advice', 'prevent', 'cancer', 'importantly', 'herbal', 'medications', 'send', 'put', 'stop', 'one', 'already', 'thank', 'great', 'doctor', 'time', 'reach', 'youtube', 'channel']"
comment : immediate healing got dr itoya herbal medicine know man inherited work father blood flow veins thank doctor making cancer negative completely without side effects reach youtube channel,"['comment', 'immediate', 'heal', 'get', 'dr', 'itoya', 'herbal', 'medicine', 'know', 'man', 'inherit', 'work', 'father', 'blood', 'flow', 'vein', 'thank', 'doctor', 'make', 'cancer', 'negative', 'completely', 'without', 'side', 'effect', 'reach', 'youtube', 'channel']"
comment : almost gave doctor could healed meant dr itoya channel youtube proof doctors thank much doctor making cancer negative completely without side effects,"['comment', 'almost', 'give', 'doctor', 'could', 'heal', 'mean', 'dr', 'itoya', 'channel', 'youtube', 'proof', 'doctor', 'thank', 'much', 'doctor', 'make', 'cancer', 'negative', 'completely', 'without', 'side', 'effect']"
comment : dr itoya saviour thought hope lost friend recommended thank doctor making cancer negative reach youtube channel,"['comment', 'dr', 'itoya', 'saviour', 'think', 'hope', 'lose', 'friend', 'recommend', 'thank', 'doctor', 'make', 'cancer', 'negative', 'reach', 'youtube', 'channel']"
comment : wife dignosed breast cancer allah great remember prayers,"['comment', 'wife', 'dignosed', 'breast', 'cancer', 'allah', 'great', 'remember', 'prayers']"
comment : luckily im fighter colon cancer also diagnosed heart almost broken shards im got turnt anyone else cancer prsying survival still im really scared right doctors tell worry edit today sad day recently saw grandmother die covid morning friday th may pm passed away long battle covid good grandmother im wishing best people suffer rabies cancer praying sincerely jacob beller,"['comment', 'luckily', 'im', 'fighter', 'colon', 'cancer', 'also', 'diagnose', 'heart', 'almost', 'break', 'shards', 'im', 'get', 'turnt', 'anyone', 'else', 'cancer', 'prsying', 'survival', 'still', 'im', 'really', 'scar', 'right', 'doctor', 'tell', 'worry', 'edit', 'today', 'sad', 'day', 'recently', 'saw', 'grandmother', 'die', 'covid', 'morning', 'friday', 'th', 'may', 'pm', 'pass', 'away', 'long', 'battle', 'covid', 'good', 'grandmother', 'im', 'wish', 'best', 'people', 'suffer', 'rabies', 'cancer', 'pray', 'sincerely', 'jacob', 'beller']"
comment : never thought possible cure cancer till l found doctor alued youtube herbal medicine cured completely cancer months im totally okay symptoms illness coming back,"['comment', 'never', 'think', 'possible', 'cure', 'cancer', 'till', 'l', 'find', 'doctor', 'alued', 'youtube', 'herbal', 'medicine', 'cure', 'completely', 'cancer', 'months', 'im', 'totally', 'okay', 'symptoms', 'illness', 'come', 'back']"
comment : diagnosed cancer major loss money caused major problems immune systembut came across dr osaka youtube channel recommended herbal medicine got completely cured cancer,"['comment', 'diagnose', 'cancer', 'major', 'loss', 'money', 'cause', 'major', 'problems', 'immune', 'systembut', 'come', 'across', 'dr', 'osaka', 'youtube', 'channel', 'recommend', 'herbal', 'medicine', 'get', 'completely', 'cure', 'cancer']"
comment : mom diagnosed breast cancer months ago ’ still fighting pray best us love death,"['comment', 'mom', 'diagnose', 'breast', 'cancer', 'months', 'ago', 'still', 'fight', 'pray', 'best', 'us', 'love', 'death']"
comment : guts went,"['comment', 'gut', 'go']"
comment : god bless wish continuous good health,"['comment', 'god', 'bless', 'wish', 'continuous', 'good', 'health']"
comment : may god give strength fighters lifes battles prayers one love,"['comment', 'may', 'god', 'give', 'strength', 'fighters', 'lifes', 'battle', 'prayers', 'one', 'love']"
comment : also breast cancei suffer lotbut strong human,"['comment', 'also', 'breast', 'cancei', 'suffer', 'lotbut', 'strong', 'human']"
comment : ’ excited able get life back herbal products supplements got dr harvey herbal world youtube,"['comment', 'excite', 'able', 'get', 'life', 'back', 'herbal', 'products', 'supplement', 'get', 'dr', 'harvey', 'herbal', 'world', 'youtube']"
comment : amennnn,"['comment', 'amennnn']"
comment : double dds hope dd die,"['comment', 'double', 'dds', 'hope', 'dd', 'die']"
comment : tried jesus heal call ask save heal watch club testimonies youtube build faith read bible says want live go heaven hell death also start saying cancer cells body die jesus name listen demon cast videos youtube cause infirmity demons give sicknesses watch club cancer testimony god told person cast cancer please let unbelief doubt kill bring hell jesus died sins cross rose dead loved much died person planet would still died cause love,"['comment', 'try', 'jesus', 'heal', 'call', 'ask', 'save', 'heal', 'watch', 'club', 'testimonies', 'youtube', 'build', 'faith', 'read', 'bible', 'say', 'want', 'live', 'go', 'heaven', 'hell', 'death', 'also', 'start', 'say', 'cancer', 'cells', 'body', 'die', 'jesus', 'name', 'listen', 'demon', 'cast', 'videos', 'youtube', 'cause', 'infirmity', 'demons', 'give', 'sicknesses', 'watch', 'club', 'cancer', 'testimony', 'god', 'tell', 'person', 'cast', 'cancer', 'please', 'let', 'unbelief', 'doubt', 'kill', 'bring', 'hell', 'jesus', 'die', 'sin', 'cross', 'rise', 'dead', 'love', 'much', 'die', 'person', 'planet', 'would', 'still', 'die', 'cause', 'love']"
comment : wife mother got stage breast cancer went treatment insurmountable pain lost job home kids ran awat friends abandoned bitter mean disgusting nagging ungrateful useless bitch poverty care fuck cancer nota glorious blessing full pink ribbons smiling faces ir big matter medical bills despair people destroys unrelentlessly became psychotic ended psychiatric ward tried kill antipsychotic medication demented fro drugs everyone makes fun twist dies screwed need disability carers payment pay rent fml fuck cancer,"['comment', 'wife', 'mother', 'get', 'stage', 'breast', 'cancer', 'go', 'treatment', 'insurmountable', 'pain', 'lose', 'job', 'home', 'kid', 'run', 'awat', 'friends', 'abandon', 'bitter', 'mean', 'disgust', 'nag', 'ungrateful', 'useless', 'bitch', 'poverty', 'care', 'fuck', 'cancer', 'nota', 'glorious', 'bless', 'full', 'pink', 'ribbons', 'smile', 'face', 'ir', 'big', 'matter', 'medical', 'bill', 'despair', 'people', 'destroy', 'unrelentlessly', 'become', 'psychotic', 'end', 'psychiatric', 'ward', 'try', 'kill', 'antipsychotic', 'medication', 'demented', 'fro', 'drug', 'everyone', 'make', 'fun', 'twist', 'die', 'screw', 'need', 'disability', 'carers', 'payment', 'pay', 'rent', 'fml', 'fuck', 'cancer']"
comment : ratioo,"['comment', 'ratioo']"
comment : im happy made hope stories get well known become thankful life health felt guilty times didnt listen parents take care health hope everyone stays healthy got stage doesnt mean going die please dont lose hope,"['comment', 'im', 'happy', 'make', 'hope', 'stories', 'get', 'well', 'know', 'become', 'thankful', 'life', 'health', 'felt', 'guilty', 'time', 'didnt', 'listen', 'parent', 'take', 'care', 'health', 'hope', 'everyone', 'stay', 'healthy', 'get', 'stage', 'doesnt', 'mean', 'go', 'die', 'please', 'dont', 'lose', 'hope']"
comment : came across woman cancer survivor story inspirational second survivor uk httpsyoutubeynqojxvppu,"['comment', 'come', 'across', 'woman', 'cancer', 'survivor', 'story', 'inspirational', 'second', 'survivor', 'uk', 'httpsyoutubeynqojxvppu']"
comment : nerf miner op,"['comment', 'nerf', 'miner', 'op']"
comment : diagnosed breast cancer im starting expose story inspire people case httpsyoutubeeaixrclkcc,"['comment', 'diagnose', 'breast', 'cancer', 'im', 'start', 'expose', 'story', 'inspire', 'people', 'case', 'httpsyoutubeeaixrclkcc']"
comment : im free cancer glory dr abiola drabiola,"['comment', 'im', 'free', 'cancer', 'glory', 'dr', 'abiola', 'drabiola']"
comment : im free cancer glory dr abiola drabiola,"['comment', 'im', 'free', 'cancer', 'glory', 'dr', 'abiola', 'drabiola']"
comment : dr cutsyorboobof hope best ’ mean ’ south park reference,"['comment', 'dr', 'cutsyorboobof', 'hope', 'best', 'mean', 'south', 'park', 'reference']"
comment : big thanks dr gbenga youtube cured cancer breast herbal medicine,"['comment', 'big', 'thank', 'dr', 'gbenga', 'youtube', 'cure', 'cancer', 'breast', 'herbal', 'medicine']"
comment : partner able get rid genital herpes virus permanently nature herbal medications ordered dr igudia youtube,"['comment', 'partner', 'able', 'get', 'rid', 'genital', 'herpes', 'virus', 'permanently', 'nature', 'herbal', 'medications', 'order', 'dr', 'igudia', 'youtube']"
comment : find effective herbal remedies breast cancer 🦠 cure drauchi youtube channel find permanent cure mine breast cancer 🦠 problemi ’ grateful doctorhttpsyoutubecomchanneluctatilkxbylcrcg,"['comment', 'find', 'effective', 'herbal', 'remedy', 'breast', 'cancer', 'cure', 'drauchi', 'youtube', 'channel', 'find', 'permanent', 'cure', 'mine', 'breast', 'cancer', 'problemi', 'grateful', 'doctorhttpsyoutubecomchanneluctatilkxbylcrcg']"
comment : battled cancer long came across herbal doctor ozuka helped get cured used herbal supplements sent asking help,"['comment', 'battle', 'cancer', 'long', 'come', 'across', 'herbal', 'doctor', 'ozuka', 'help', 'get', 'cure', 'use', 'herbal', 'supplement', 'send', 'ask', 'help']"
comment : anty breast cancer pain expensive god gon na solves problems,"['comment', 'anty', 'breast', 'cancer', 'pain', 'expensive', 'god', 'gon', 'na', 'solve', 'problems']"
comment : nah dislikes videos 🤨,"['comment', 'nah', 'dislike', 'videos']"
comment : abortion dead babies revenge breast cancer,"['comment', 'abortion', 'dead', 'baby', 'revenge', 'breast', 'cancer']"
comment : bro people dislike anything,"['comment', 'bro', 'people', 'dislike', 'anything']"
comment : sad,"['comment', 'sad']"
comment : found mother lump shes going get checked tomorrow im im prepping worst family incapable paying treatment im probably gon na sacrifice college itll worth im sending hugs support everyone affected breast cancer directly indirectly give condolences loved ones pass youre strong,"['comment', 'find', 'mother', 'lump', 'shes', 'go', 'get', 'check', 'tomorrow', 'im', 'im', 'prepping', 'worst', 'family', 'incapable', 'pay', 'treatment', 'im', 'probably', 'gon', 'na', 'sacrifice', 'college', 'itll', 'worth', 'im', 'send', 'hug', 'support', 'everyone', 'affect', 'breast', 'cancer', 'directly', 'indirectly', 'give', 'condolences', 'love', 'ones', 'pass', 'youre', 'strong']"
comment : grab large speaker let vibration target cancer condition httpsyoutubexsjodto,"['comment', 'grab', 'large', 'speaker', 'let', 'vibration', 'target', 'cancer', 'condition', 'httpsyoutubexsjodto']"
comment : hello thereget genuine herbal remedies dr egwali herbal home httpswwwfacebookcomdregwaliherbalspellhome,"['comment', 'hello', 'thereget', 'genuine', 'herbal', 'remedy', 'dr', 'egwali', 'herbal', 'home', 'httpswwwfacebookcomdregwaliherbalspellhome']"
comment : thats crazy dont care,"['comment', 'thats', 'crazy', 'dont', 'care']"
