Text,Tokenized,Sentiment Scores
prayers sister,"['prayers', 'sister']","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
thank video get well soon,"['thank', 'video', 'get', 'well', 'soon']","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
gute besserung welchen krebs hatten sie,"['gute', 'besserung', 'welchen', 'krebs', 'hatten', 'sie']","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
sister dead previous year breast cancer fully broke life,"['sister', 'dead', 'previous', 'year', 'breast', 'cancer', 'fully', 'broke', 'life']","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
https www youtube com watch toz41utt hk,"['https', 'www', 'youtube', 'com', 'watch', 'toz41utt', 'hk']","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
girlfriend suffering cancer,"['girlfriend', 'suffering', 'cancer']","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
god bless young pray fast recovery,"['god', 'bless', 'young', 'pray', 'fast', 'recovery']","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
may god heal,"['may', 'god', 'heal']","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
,[],"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
unfortunately treatments personal alone experiences 90 plus percent treatments since 2014 strange wife actually,"['unfortunately', 'treatments', 'personal', 'alone', 'experiences', '90', 'plus', 'percent', 'treatments', 'since', '2014', 'strange', 'wife', 'actually']","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
brave soul great aid kill cancer cells would cyanide molecule found apricot seed derivitives amygdala pills laetrile serum derived apricot seeds cyanide breaks free three molecule attached presence cancer cells otherwise four molecule group passes harmlessly body phillip bissell book alive well shows 300 patients successes excerpts found internet god bless,"['brave', 'soul', 'great', 'aid', 'kill', 'cancer', 'cells', 'would', 'cyanide', 'molecule', 'found', 'apricot', 'seed', 'derivitives', 'amygdala', 'pills', 'laetrile', 'serum', 'derived', 'apricot', 'seeds', 'cyanide', 'breaks', 'free', 'three', 'molecule', 'attached', 'presence', 'cancer', 'cells', 'otherwise', 'four', 'molecule', 'group', 'passes', 'harmlessly', 'body', 'phillip', 'bissell', 'book', 'alive', 'well', 'shows', '300', 'patients', 'successes', 'excerpts', 'found', 'internet', 'god', 'bless']","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
stay strong tough god bless,"['stay', 'strong', 'tough', 'god', 'bless']","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
steroid appetite die allergic reaction allergic reaction,"['steroid', 'appetite', 'die', 'allergic', 'reaction', 'allergic', 'reaction']","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
red devil doxyrubsin nasty customer strongest toxic around,"['red', 'devil', 'doxyrubsin', 'nasty', 'customer', 'strongest', 'toxic', 'around']","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
